pincode,year,state,district,age_0_5,age_5_17,age_18_greater,total_enrollments,updates_5_17,updates_18_plus,total_updates,UER,UER_18_plus,p90_uer_threshold,p90_uer18_threshold
110001,2025,Delhi,New Delhi,91,39,6,136,331,2388,2719,19.99264705882353,17.558823529411764,19.0,17.304525288376222
110006,2025,Delhi,North Delhi,778,161,9,948,1748,17100,18848,19.88185654008439,18.037974683544302,19.0,17.304525288376222
110008,2025,Delhi,Central Delhi,376,123,18,517,2072,19508,21580,41.74081237911025,37.7330754352031,19.0,17.304525288376222
110012,2025,Delhi,Central Delhi,138,25,5,168,329,3142,3471,20.660714285714285,18.702380952380953,19.0,17.304525288376222
110019,2025,Delhi,South Delhi,552,116,14,682,1594,16653,18247,26.755131964809383,24.417888563049853,19.0,17.304525288376222
110025,2025,Delhi,South Delhi,871,285,11,1167,2760,24145,26905,23.05484147386461,20.6898029134533,19.0,17.304525288376222
110031,2025,Delhi,East Delhi,409,134,6,549,3136,17371,20507,37.353369763205826,31.641165755919854,19.0,17.304525288376222
110033,2025,Delhi,North West Delhi,814,199,5,1018,3997,38251,42248,41.50098231827112,37.57465618860511,19.0,17.304525288376222
110035,2025,Delhi,North West Delhi,255,60,1,316,754,7249,8003,25.325949367088608,22.939873417721518,19.0,17.304525288376222
110038,2025,Delhi,South West Delhi,39,13,0,52,189,1226,1415,27.21153846153846,23.576923076923077,19.0,17.304525288376222
110042,2025,Delhi,North West Delhi,1061,319,7,1387,4551,27811,32362,23.332372025955298,20.05118961788032,19.0,17.304525288376222
110043,2025,Delhi,West Delhi,1127,326,9,1462,5351,36823,42174,28.846785225718193,25.18673050615595,19.0,17.304525288376222
110044,2025,Delhi,South Delhi,1412,368,12,1792,5792,39991,45783,25.548549107142858,22.31640625,19.0,17.304525288376222
110046,2025,Delhi,South West Delhi,282,73,7,362,1918,15741,17659,48.78176795580111,43.48342541436464,19.0,17.304525288376222
110047,2025,Delhi,South Delhi,234,62,4,300,857,5243,6100,20.333333333333332,17.476666666666667,19.0,17.304525288376222
110051,2025,Delhi,East Delhi,608,176,22,806,1913,17476,19389,24.055831265508687,21.682382133995038,19.0,17.304525288376222
110052,2025,Delhi,North West Delhi,438,91,4,533,1610,16857,18467,34.647279549718576,31.626641651031896,19.0,17.304525288376222
110062,2025,Delhi,South Delhi,2081,519,22,2622,3713,47075,50788,19.369946605644547,17.953852021357743,19.0,17.304525288376222
110063,2025,Delhi,West Delhi,316,66,7,389,1893,16259,18152,46.66323907455013,41.796915167095115,19.0,17.304525288376222
110064,2025,Delhi,South West Delhi,119,38,4,161,336,3631,3967,24.63975155279503,22.5527950310559,19.0,17.304525288376222
110075,2025,Delhi,South West Delhi,254,35,5,294,1024,8571,9595,32.636054421768705,29.153061224489797,19.0,17.304525288376222
110076,2025,Delhi,South Delhi,447,90,3,540,849,9623,10472,19.392592592592592,17.82037037037037,19.0,17.304525288376222
110077,2025,Delhi,South West Delhi,481,116,18,615,1555,10650,12205,19.84552845528455,17.317073170731707,19.0,17.304525288376222
110084,2025,Delhi,North Delhi,970,373,12,1355,6220,44678,50898,37.56309963099631,32.97269372693727,19.0,17.304525288376222
110087,2025,Delhi,West Delhi,190,22,2,214,773,6048,6821,31.873831775700936,28.261682242990656,19.0,17.304525288376222
110088,2025,Delhi,North West Delhi,317,61,6,384,867,8122,8989,23.408854166666668,21.151041666666668,19.0,17.304525288376222
110089,2025,Delhi,North West Delhi,190,29,0,219,469,3937,4406,20.118721461187214,17.977168949771688,19.0,17.304525288376222
110093,2025,Delhi,Shahdara,1151,293,6,1450,5295,25818,31113,21.457241379310346,17.80551724137931,19.0,17.304525288376222
110096,2025,Delhi,East Delhi,643,223,1,867,6484,26280,32764,37.79008073817762,30.311418685121108,19.0,17.304525288376222
121005,2025,Haryana,Faridabad,625,128,4,757,2255,16451,18706,24.710700132100396,21.731836195508585,19.0,17.304525288376222
122009,2025,Haryana,Gurgaon,30,11,17,58,90,1253,1343,23.155172413793103,21.603448275862068,19.0,17.304525288376222
122017,2025,Haryana,Gurgaon,181,66,6,253,765,6245,7010,27.707509881422926,24.68379446640316,19.0,17.304525288376222
