pincode,year,state,district,age_0_5,age_5_17,age_18_greater,total_enrollments,updates_5_17,updates_18_plus,total_updates,UER,UER_18_plus,NMR,NMR_adult,migration_category,NMR_quartile,NMR_bin,area_type,is_anomaly
100000,2025,100000,100000,0,1,217,218,0,2,2,0.0091743119266055,0.0091743119266055,-0.9908256880733946,-0.9908256880733946,net_outflow,Q1,<0,Medium,False
110001,2025,Delhi,New Delhi,91,39,6,136,331,2388,2719,19.99264705882353,17.558823529411764,18.99264705882353,16.558823529411764,extreme_attraction,Q4,10-20,Medium,False
110002,2025,Delhi,Central Delhi,302,79,4,385,357,3443,3800,9.87012987012987,8.942857142857143,8.87012987012987,7.942857142857143,very_high_attraction,Q3,5-10,Medium,False
110003,2025,Delhi,Central Delhi,541,232,84,857,245,2447,2692,3.1411901983663943,2.855309218203034,2.1411901983663943,1.855309218203034,high_attraction,Q1,2-5,High,False
110005,2025,Delhi,Central Delhi,619,202,50,871,834,10227,11061,12.699196326061998,11.741676234213548,11.699196326061998,10.741676234213548,extreme_attraction,Q3,10-20,High,False
110006,2025,Delhi,North Delhi,778,161,9,948,1748,17100,18848,19.88185654008439,18.037974683544306,18.88185654008439,17.037974683544302,extreme_attraction,Q4,10-20,High,False
110007,2025,Delhi,North Delhi,646,180,18,844,1122,13932,15054,17.83649289099526,16.507109004739338,16.83649289099526,15.507109004739338,extreme_attraction,Q4,10-20,High,False
110008,2025,Delhi,Central Delhi,376,123,18,517,2072,19508,21580,41.74081237911025,37.7330754352031,40.74081237911025,36.7330754352031,extreme_attraction,Q4,20-50,High,True
110009,2025,Delhi,North West Delhi,306,71,14,391,520,6433,6953,17.782608695652176,16.452685421994886,16.782608695652176,15.452685421994886,extreme_attraction,Q4,10-20,Medium,False
110010,2025,Delhi,South West Delhi,113,40,2,155,197,1582,1779,11.477419354838707,10.206451612903226,10.477419354838707,9.206451612903226,extreme_attraction,Q3,10-20,Medium,False
