,NMR,NMR,NMR,NMR,NMR
,min,median,max,mean,count
state,,,,,
Daman & Diu,28.105263157894736,28.105263157894736,28.105263157894736,28.105263157894736,1
Manipur,2.178913738019169,26.500527161361582,78.87,31.415348685574386,52
Chandigarh,9.95945945945946,24.276041666666668,45.7361963190184,24.76243110637654,15
Chhattisgarh,0.197172619047619,17.16385271479093,115.36363636363636,20.595673944736284,250
Andaman & Nicobar Islands,16.17105263157895,16.17105263157895,16.17105263157895,16.17105263157895,1
West Bangal,16.133004926108374,16.133004926108374,16.133004926108374,16.133004926108374,1
Maharashtra,0.1662904439428141,14.864017542693865,114.36842105263158,17.451881574447945,1322
Andhra Pradesh,1.070287539936102,14.582089552238806,66.98,16.455307984819335,1085
Goa,7.043010752688172,14.157189721159103,21.38235294117647,14.206991391855773,26
Delhi,2.1411901983663943,13.914442700156986,47.78176795580111,15.812665623372292,90
Andaman and Nicobar Islands,6.333333333333333,12.037367405978785,28.03846153846154,14.339424584844062,6
Telangana,2.3037974683544302,11.796070647674444,50.0566037735849,12.882099789896781,538
Tripura,3.0666666666666664,11.009191176470587,35.796460176991154,12.557058299602044,66
Sikkim,3.1551155115511555,10.97005988023952,19.2,10.424907077579416,17
Pondicherry,3.39622641509434,10.26431718061674,15.476415094339622,10.424543517206098,7
West Bengal,1.3909348441926346,10.021977177967962,36.06666666666667,10.959740042181252,1092
Punjab,0.336962156557802,9.991902834008098,42.24242424242424,11.368308502647137,389
Mizoram,0.4951612903225806,9.648248465149873,23.964285714285715,9.448145873871052,30
Daman and Diu,9.53061224489796,9.53061224489796,9.53061224489796,9.53061224489796,1
Arunachal Pradesh,0.4160090191657271,9.468468468468467,42.51219512195122,10.380025067821238,35
Puducherry,2.6,9.441176470588236,20.357142857142858,9.542119198527935,19
Uttarakhand,1.8689655172413795,9.248943236714975,31.07412587412588,10.460290139085455,196
Uttar Pradesh,0.6386473429951691,9.066825775656325,41.0,9.556389015399407,1631
Bihar,0.963346908552388,8.831877792467214,37.9375,9.376328169084413,864
Haryana,1.1279069767441858,8.689277899343544,51.9646017699115,10.270911993399354,279
Jharkhand,0.9088378566457898,8.41159721748619,40.86111111111112,9.526979765031832,330
Kerala,1.6,8.364443084455324,24.366666666666667,8.87287974341896,866
Odisha,1.5185185185185186,8.347682119205299,24.2,8.827897667374424,771
Tamil Nadu,1.3795180722891565,7.92,41.76136363636363,8.727089038106666,1771
Ladakh,1.296153846153846,6.95828331332533,23.41176470588235,9.870887585803551,6
Gujarat,0.0659133709981167,6.889447236180905,39.6625,7.530519295436323,843
Rajasthan,-0.2494929006085192,6.848897530403157,53.55172413793103,8.014538216821348,950
Himachal Pradesh,0.55,6.544444444444444,18.543624161073826,7.022526662074464,212
Karnataka,0.5217391304347827,6.523369565217392,51.3134328358209,7.3261914829100805,1122
Orissa,1.3072289156626504,6.40625,13.581395348837209,6.557194638045702,43
Jammu and Kashmir,0.876949740034662,6.399155061805664,23.481578947368423,7.181739597516634,178
Lakshadweep,4.777777777777778,4.777777777777778,4.777777777777778,4.777777777777778,1
Madhya Pradesh,0.2225755166931637,4.490514560361889,24.96992481203008,5.50009346738217,728
Assam,-0.2436194895591646,3.916712962962963,23.047169811320757,4.678473874943245,530
Dadra and Nagar Haveli,3.400269541778976,3.8013245033112586,7.529999999999999,4.910531348363411,3
Nagaland,-0.3192982456140351,1.217948717948718,14.857142857142858,2.943460280646186,33
Meghalaya,-0.8896746817538896,-0.3354037267080745,3.383545770567787,-0.05475162553559567,59
100000,-0.9908256880733946,-0.9908256880733946,-0.9908256880733946,-0.9908256880733946,1
